nombre|ubicacion|ubicacion_detalle|ubicacion_referencia|distrito|region|fecha_inicio|fecha_inicio_alt|fecha_fin|descripcion|precio|organizador|asistiran|me_interesa|veces_compartido|imagen|enlace_evento
DYANGO TRIBUTO POR JAIRO TAFUR|LA ESTACIÓN DE BARRANCO|||BARRANCO|LIMA|26/12/2019 22:45:00|||Yo Soy DYANGO. JAIRO TAFUR, el imitador del cantante español DYANGO, coronado como campeón de la temporada 25 del concurso “YO SOY”, le ofrece a todos sus seguidores un inigualable concierto en el que interpretará, acompañado de su banda, todos los temas que lo llevaron a alcanzar el anhelado reconocimiento del público.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.12.04-FORMATO-DYANGO-Tributo-por-Jairo-Tafur.gif|https://teleticket.com.pe/evento/V7371
SINFONIA NAVIDEÑA|ANFITEATRO DEL PARQUE DE LA EXPOSICION|||LIMA|LIMA|22/12/2019 20:00:00|||Sinfonía por el Perú, programa social liderado por el tenor peruano Juan Diego Flórez, presenta con gran emoción su concierto||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.10.15-Sinfonia-Navideña-octubre-2019-5.gif|https://teleticket.com.pe/evento/V7224
HOMENAJE AL MÁS GRANDE CAMILO SESTO|CENTRO DE CONVENCIONES BIANCA|||BARRANCO|LIMA|21/12/2019 21:00:00|||El mejor tributo a un grande de la música española representado por Angel Mattos, el Camilo Sesto peruano en el Centro de Convenciones Bianca. Esta será una noche increíble acompañado de grandes invitados y banda en vivo.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.10.29-FORMATO-HOMENAJE-AL-MÁS-GRANDE-CAMILO-SESTO-POR-ANGEL-MATTOS.gif|https://teleticket.com.pe/evento/V7261
NOCHE DE PAZ|TEATRO PERUANO JAPONÉS|||JESUS MARIA|LIMA|21/12/2019 19:00:00|||NOCHE DE PAZ es un concierto coral alusivo a las fiestas de navidad interpretado por el coro Voces del Sol que dirige la maestra Claudia Rheineck. Más de 120 chicos repartidos entre sopranos, contraltos, tenores y barítonos que oscilan entre los 6 y 23 años de edad. Un repertorio exclusivo de una navidad universal y peruana, cantos con arreglos corales de alto nivel interpretados por voces de niños y jóvenes que cuentan con una excelente trayectoria en el campo coral y han acumulado con los años, una formación vocal-musical que compite con estándares internacionales. Sumando a la virtud de sus talentos vocales se suma en ellos el poder interpretativo que los caracteriza y moviliza profundamente a sus oyentes y espectadores. Todos ellos, acompañados por un grupo de cámara compuesto por los mejores músicos del medio. Esta experiencia posibilitará la desconexión de los espectadores de la cotidianeidad de un mundo consumista, agitado, violento y compulsivo, invitándole a disfrutar de un espacio cultural, de paz y reflexión que potencie el disfrute de las festividades navideñas y, sobre todo, dejar el mensaje de paz que tanto necesitan nuestros niños y jóvenes.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.08-NOCHE-DE-PAZ.gif |https://teleticket.com.pe/evento/V7284
GUAYNAA|BARRANCO ARENA|||BARRANCO|LIMA|20/12/2019 23:59:00|||||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/comunicado_cancelacion_guaynaaFECHA-2.png|https://teleticket.com.pe/evento/V7121
GRUPO RIO & AFRODISIACO EN CONCIERTO|CENTRO DE CONVENCIONES BIANCA|||BARRANCO|LIMA|20/12/2019 21:30:00|||Por primera vez se juntan 2 de las bandas más emblemáticas del Perú en un solo escenario, el grupo Rio & la banda Afrodisiaco, esta vez en C.C. Bianca de Barranco, en un concierto lleno de sorpresas a sus fieles seguidores.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.04-BIANCA-RIO-Y-AFRODISIACO-2.gif|https://teleticket.com.pe/evento/V7266
MAR DE COPAS CUARTA LLAMADA FIESTA CONCIERTO|CENTRO DE CONVENCIONES BARRANCO ARENA|||BARRANCO|LIMA|20/12/2019 21:00:00|||MAR DE COPAS CIERRA EL AÑO DE “ENTRE LOS ARBOLES” CON “CUARTA LLAMADA” LA FIESTA CONCIERTO||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/21.10.17-MAR-DE-COPAS-CUARTA-LLAMADA-FIESTA-CONCIERTO-10.gif|https://teleticket.com.pe/evento/V7234
SEBASTIAN MOLINA EN TRIBUTO A RICARDO ARJONA|LA ESTACION DE BARRANCO|||BARRANCO|LIMA|19/12/2019 22:45:00|||Vuelve Sebastián Molina a la Estación de Barranco para cantarnos los mejores éxitos de Ricardo Arjona, será un concierto íntimo dedicado a todos sus fieles seguidores.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.11.14-Tributo-Ricardo-Arjona.gif|https://teleticket.com.pe/evento/V7297
PUPY Y LOS QUE SON SON EN CONCIERTO|CENTRO DE CONVENCIONES BARRANCO ARENA|||BARRANCO|LIMA|14/12/2019 22:00:00|||"Luego de 3 años regresa a Lima, la capital de la Timba, uno de los artistas más representativos de la música cubana, ""El Chamaco de Pogoloti"", CESAR PUPY PEDROSO Y LOS QUE SON SON (ORQUESTA COMPLETA) para brindarnos un concierto de calidad con un show de 02 horas donde interpretará sus mejores éxitos tales como:"||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/19.10.23-PUPY-Y-LOS-QUE-SON-SON-EN-CONCIERTO-3.gif|https://teleticket.com.pe/evento/V7249
SHAWN MENDES|JOCKEY CLUB|||SANTIAGO DE SURCO|LIMA|14/12/2019 21:00:00|||Este año, Shawn Mendes, uno de los rostros pop del momento, realizará la gira más importante de su carrera. Se trata de un tour mundial que incluye Europa, Reino Unido, Norte América y Australia. Hoy, el intérprete de ‘There’s nothing holdin me back’ y nominado al GRAMMY, sumó a su ya anunciada gira el tramo por Latinoamérica, el cual pasará por Perú. Así lo dio a conocer la conocida productora Move Concerts, quienes también realizaron los memorables shows de Ed Sheeran, Justin Bieber, Katy Perry, 5 Seconds of Summer y R5.||||||https://cdn.teleticket.com.pe/tlk_imagenes/tlk_repositorio/18.01.21-Shawn-Mendes-18.gif|https://teleticket.com.pe/evento/V6251
